Survey;answer_identifier;Informed Consent;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P19;P18;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;Online course frustration;Computer for exclusive use;Internet connection;Covid-concern1;Covid-concern2;Covid-concern3;Covid-concern4;Anonymized student ID
survey1;11;Yes;5;5;3;5;4;4;3;2;3;5;2;5;4;3;4;5;5;4;5;4;5;5;5;4;4;5;5;3;4;3;5;4;No;Stable, in some cases I've had issues;4;5;5;1;438
survey1;12;Yes;4;5;3;5;4;4;3;3;4;5;3;5;5;3;4;4;5;4;5;5;5;5;5;5;4;5;5;5;5;2;4;2;Yes;Very stable;2;4;5;1;932
survey1;13;Yes;4;4;2;4;3;3;3;4;5;4;3;4;3;2;4;4;5;3;3;3;4;4;4;3;4;4;4;2;4;2;3;3;Yes;Stable, in some cases I've had issues;3;3;3;3;259
survey1;14;Yes;3;4;5;3;4;3;5;4;3;4;5;4;4;5;3;3;4;5;4;4;4;4;4;1;4;3;4;5;4;3;4;5;Yes;Very unstable;1;4;3;1;152
survey1;15;Yes;3;5;4;2;3;2;5;4;5;4;4;4;5;5;1;2;4;4;5;4;5;1;4;2;4;4;4;4;3;4;4;2;Yes;Unstable, sometimes I've got problems;4;4;4;1;716
survey1;16;Yes;3;4;2;4;4;3;5;4;4;5;4;5;5;4;3;3;5;3;4;4;5;4;5;2;4;4;4;5;4;4;5;1;Yes;Stable, in some cases I've had issues;5;5;5;2;690
survey1;17;Yes;5;5;1;4;5;5;4;3;3;5;4;5;5;2;5;5;4;2;5;5;5;4;4;4;4;4;4;3;5;3;5;1;Yes;Stable, in some cases I've had issues;3;3;4;1;394
survey1;18;Yes;3;4;4;3;3;3;3;4;4;3;4;3;3;4;3;3;3;4;4;3;4;3;3;3;4;4;3;4;3;4;3;3;Yes;Stable, in some cases I've had issues;4;5;4;1;805
survey1;19;Yes;3;5;2;4;4;4;3;3;4;4;3;5;3;4;4;4;4;3;5;5;5;5;5;4;4;4;4;3;4;2;4;4;Yes;Stable, in some cases I've had issues;5;5;5;1;793
survey1;20;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;21;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;22;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;23;Yes;3;3;4;4;3;2;4;4;2;4;4;4;3;4;3;4;4;4;4;3;4;4;4;3;3;4;4;4;4;2;3;4;Yes;Stable, in some cases I've had issues;4;4;5;1;751
survey1;24;Yes;5;5;1;4;5;5;2;3;4;5;3;5;3;1;5;5;5;2;5;5;5;5;5;5;5;5;5;2;5;3;5;5;Yes;Very stable;2;4;4;1;456
survey1;25;Yes;4;4;4;5;3;1;3;5;4;4;4;5;4;4;3;5;3;3;4;4;4;5;4;5;4;3;4;4;3;4;4;3;Yes;Stable, in some cases I've had issues;4;5;4;3;77
survey1;26;Yes;4;4;3;4;3;4;3;4;3;5;5;5;5;4;4;4;5;4;5;4;5;4;4;3;4;4;4;4;4;3;4;3;Yes;Stable, in some cases I've had issues;4;4;4;1;1
survey1;27;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;28;Yes;5;5;3;5;4;4;3;2;4;5;3;5;4;3;4;5;5;4;4;5;5;4;5;4;4;5;5;3;4;2;5;1;Yes;Stable, in some cases I've had issues;3;5;5;1;341
survey1;29;Yes;3;4;3;4;3;2;3;4;4;4;4;4;4;5;3;4;5;4;5;4;5;4;4;4;4;5;4;4;4;4;3;3;Yes;Stable, in some cases I've had issues;2;3;3;1;84
survey1;30;Yes;4;5;2;4;5;3;3;5;4;5;4;5;3;4;3;3;5;4;5;5;5;3;5;3;4;5;5;4;4;2;4;3;Yes;Stable, in some cases I've had issues;4;5;5;2;138
survey1;31;Yes;3;4;4;3;1;3;5;3;3;5;4;4;3;3;3;5;5;5;3;2;5;5;5;3;2;5;5;4;5;5;1;5;No;Stable, in some cases I've had issues;5;5;4;1;347
survey1;32;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;33;Yes;5;4;2;5;4;4;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;3;4;4;4;3;;;;;;;invalid id
survey1;34;Yes;4;4;2;4;4;4;3;3;4;4;3;5;4;3;3;4;4;4;4;5;5;4;4;3;3;4;3;4;4;3;4;4;Yes;Stable, in some cases I've had issues;2;2;2;1;887
survey1;35;Yes;3;4;2;4;4;3;3;4;4;5;4;3;5;5;3;3;5;5;5;4;5;3;5;3;3;5;5;5;5;5;4;5;Yes;Unstable, sometimes I've got problems;5;5;5;1;331
survey1;36;Yes;4;5;2;5;3;3;4;4;3;4;3;5;4;3;3;4;5;3;5;5;5;4;5;4;4;4;4;3;5;3;4;3;Yes;Stable, in some cases I've had issues;4;4;4;2;561
survey1;37;Yes;4;5;1;5;3;4;2;3;3;4;1;4;3;3;4;5;4;4;4;4;4;4;5;5;4;4;4;3;5;1;4;3;Yes;Stable, in some cases I've had issues;4;5;5;2;54
survey1;38;Yes;4;5;1;4;4;5;3;1;3;4;3;5;5;1;5;5;5;1;4;4;5;5;4;4;3;5;4;1;5;3;4;2;Yes;Very stable;2;3;4;1;41
survey1;39;Yes;4;4;2;3;4;4;3;3;4;4;3;4;3;4;4;3;4;2;4;4;4;4;4;3;4;4;3;2;4;3;4;4;Yes;Stable, in some cases I've had issues;2;2;2;1;696
survey1;40;Yes;3;5;3;5;3;4;4;5;5;4;4;5;3;5;4;4;5;5;4;4;4;5;5;3;4;4;4;5;4;2;4;4;Yes;Stable, in some cases I've had issues;2;5;5;1;883
survey1;41;Yes;4;5;1;4;4;4;5;4;3;4;5;4;4;4;4;4;4;4;5;5;5;5;4;3;4;4;4;4;4;4;4;4;Yes;Very stable;4;5;4;1;720
survey1;42;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;43;Yes;4;4;5;5;2;3;3;5;4;5;4;4;3;5;3;4;5;5;3;3;4;4;5;4;3;5;5;5;3;3;3;5;Yes;Stable, in some cases I've had issues;4;5;4;3;8
survey1;44;Yes;4;5;2;3;4;3;4;3;4;5;5;5;5;2;4;5;5;4;5;4;4;4;4;4;5;5;3;4;4;4;4;4;Yes;Stable, in some cases I've had issues;4;5;5;1;460
survey1;45;Yes;3;4;4;3;2;3;4;4;4;4;4;4;3;4;4;3;3;4;4;3;4;3;3;4;4;3;3;4;4;2;4;4;Yes;Unstable, sometimes I've got problems;4;4;4;2;685
survey1;46;Yes;4;4;4;4;3;2;3;3;4;4;4;4;3;4;2;3;4;5;4;3;4;4;4;3;3;4;4;5;3;4;3;4;Yes;Unstable, sometimes I've got problems;4;5;4;3;144
survey1;47;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;48;Yes;5;5;3;5;4;4;5;3;5;5;5;5;5;5;5;4;5;2;5;5;5;5;5;2;4;5;5;3;5;4;4;2;Yes;Stable, in some cases I've had issues;1;2;2;1;731
survey1;49;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;50;Yes;4;2;5;4;2;3;3;5;3;4;4;4;5;4;4;4;4;5;4;3;4;5;4;3;3;5;5;5;3;4;3;5;Yes;Unstable, sometimes I've got problems;4;5;4;2;354
survey1;51;Yes;4;5;3;4;3;3;2;3;4;4;3;4;2;3;4;4;4;3;4;4;4;5;4;3;4;4;4;3;4;2;4;3;Yes;Stable, in some cases I've had issues;5;5;4;3;707
survey1;52;Yes;2;4;4;4;2;2;4;4;3;4;3;4;3;4;3;3;3;4;4;3;4;5;4;4;4;4;4;5;3;4;3;2;Yes;Stable, in some cases I've had issues;5;5;5;2;713
survey1;53;Yes;3;4;4;3;2;2;2;4;3;4;5;4;2;5;3;2;3;5;3;2;3;4;4;3;3;4;3;4;3;2;3;4;Yes;Stable, in some cases I've had issues;2;5;5;3;842
survey1;54;Yes;5;5;1;5;5;5;3;3;4;5;4;5;4;2;3;4;5;3;4;4;3;5;4;4;4;4;5;3;4;3;4;5;Yes;Very stable;4;5;4;2;invalid id
survey1;55;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;56;Yes;5;5;1;5;4;5;5;5;3;5;5;5;4;1;5;5;5;3;5;4;5;5;5;4;5;5;5;4;5;1;4;1;Yes;Stable, in some cases I've had issues;2;4;4;1;202
survey1;57;Yes;3;4;4;3;3;3;2;4;2;4;4;4;3;5;3;4;3;5;3;2;4;4;4;2;2;4;4;4;4;3;3;4;Yes;Unstable, sometimes I've got problems;4;4;4;2;788
survey1;58;Yes;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;5;5;4;5;3;3;5;4;4;4;4;4;4;Yes;Unstable, sometimes I've got problems;2;2;2;2;103
survey1;59;Yes;3;4;4;4;3;2;3;5;2;3;4;4;3;5;2;3;4;5;3;3;3;5;5;5;2;5;4;5;4;4;3;1;Yes;Stable, in some cases I've had issues;5;5;5;3;170
survey1;60;Yes;2;5;3;5;2;4;3;2;5;5;2;5;5;5;2;3;4;5;5;2;5;2;5;3;5;5;5;5;5;5;4;5;Yes;Stable, in some cases I've had issues;2;4;1;2;684
survey1;61;Yes;3;5;4;4;3;4;4;5;5;5;2;4;5;5;3;3;4;4;4;4;5;5;5;3;4;5;4;5;4;5;4;5;Yes;Stable, in some cases I've had issues;2;1;1;1;297
survey1;62;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;63;Yes;4;4;3;4;3;3;3;2;3;4;3;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;3;4;3;4;5;Yes;Very stable;5;5;5;4;38
survey1;64;Yes;3;4;3;3;3;4;1;3;4;4;3;4;3;4;3;3;4;3;4;3;4;5;4;4;4;4;4;4;4;3;4;2;Yes;Stable, in some cases I've had issues;2;5;5;2;853
survey1;65;Yes;4;4;3;4;3;3;2;5;2;4;4;4;3;5;3;4;4;5;2;2;3;2;4;3;4;3;3;5;3;4;2;5;Yes;Stable, in some cases I've had issues;5;5;5;4;689
survey1;66;Yes;3;5;4;4;4;4;5;4;4;5;5;5;4;5;3;3;3;4;5;5;5;4;3;2;4;3;3;4;5;5;5;5;Yes;Stable, in some cases I've had issues;5;5;5;3;711
survey1;67;Yes;3;4;4;4;3;2;2;3;3;5;2;4;3;4;2;3;5;5;5;2;4;5;5;5;2;5;3;5;3;3;3;5;Yes;Stable, in some cases I've had issues;5;5;5;5;818
survey1;68;Yes;3;4;3;2;3;1;5;4;1;4;2;4;2;1;3;3;2;2;4;2;4;2;4;2;3;2;4;5;3;1;4;5;Yes;Very stable;5;5;5;1;871
survey1;69;Yes;4;4;4;5;3;3;4;4;4;4;4;4;4;4;2;3;4;4;4;3;4;3;4;4;4;4;3;4;3;3;2;4;Yes;Unstable, sometimes I've got problems;3;4;3;3;33
survey1;70;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;71;Yes;3;4;3;2;3;4;5;4;3;3;4;4;4;3;3;2;2;3;4;4;4;3;2;2;3;3;3;3;4;1;4;1;Yes;Stable, in some cases I've had issues;1;5;4;1;61
survey1;72;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;73;Yes;2;2;5;3;1;1;3;5;3;4;4;4;5;5;2;3;3;5;3;2;5;3;3;2;1;3;3;5;2;3;2;5;Yes;Unstable, sometimes I've got problems;5;5;5;2;911
survey1;74;Yes;4;4;2;5;3;4;3;3;3;4;2;4;3;2;3;4;4;3;3;4;4;4;4;4;3;4;4;4;4;2;4;3;Yes;Very stable;2;2;3;1;218
survey1;75;Yes;5;5;1;5;5;5;5;4;5;5;3;5;5;4;5;5;5;2;5;5;5;5;5;3;5;5;5;2;5;2;5;2;Yes;Stable, in some cases I've had issues;1;5;4;1;804
survey1;76;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;77;Yes;3;5;1;4;4;3;5;4;3;4;3;5;3;5;3;2;4;5;5;4;5;3;4;2;5;5;4;5;3;3;4;5;Yes;Unstable, sometimes I've got problems;5;5;5;2;100
survey1;78;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;79;Yes;4;5;2;3;3;4;3;3;4;4;4;5;4;2;4;3;4;2;5;4;4;2;4;2;4;4;4;1;4;1;4;1;Yes;Very stable;1;1;4;1;554
survey1;80;Yes;5;4;3;5;4;5;2;5;5;4;3;5;5;4;5;5;5;5;5;4;5;4;5;3;3;4;4;4;5;3;4;1;Yes;Stable, in some cases I've had issues;1;4;4;1;773
survey1;81;Yes;3;4;2;4;3;3;4;4;5;5;4;4;5;5;3;2;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;Yes;Unstable, sometimes I've got problems;4;5;3;1;invalid id
survey1;82;Yes;4;5;1;5;4;4;2;2;4;5;3;5;5;3;4;4;4;2;5;4;5;4;5;3;4;4;4;4;5;3;4;3;Yes;Unstable, sometimes I've got problems;4;4;4;1;834
survey1;83;Yes;3;4;3;4;3;3;4;4;3;5;4;4;3;4;3;3;4;3;4;4;4;5;5;4;3;4;4;4;4;3;4;2;No;Stable, in some cases I've had issues;5;5;5;3;753
survey1;84;Yes;4;5;2;5;3;5;5;3;2;5;5;5;4;4;4;3;5;3;5;4;5;4;5;3;5;5;5;4;5;1;5;1;Yes;Very stable;4;5;5;1;243
survey1;85;Yes;5;3;1;4;5;5;5;3;4;5;5;5;5;4;5;5;5;1;5;5;5;5;5;5;4;5;5;1;5;1;5;5;Yes;Stable, in some cases I've had issues;4;5;5;1;832
survey1;86;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;87;Yes;5;5;1;5;5;4;5;2;3;5;3;5;3;2;4;4;4;3;4;5;5;4;5;3;4;5;5;2;5;3;5;2;Yes;Very stable;4;4;4;2;29
survey1;88;Yes;2;4;5;4;2;2;3;5;5;5;3;4;4;5;2;2;4;5;4;2;4;4;5;3;5;4;4;5;2;5;3;5;Yes;Stable, in some cases I've had issues;4;5;5;2;752
survey1;89;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;90;Yes;3;1;4;3;3;4;3;3;5;4;4;3;4;4;4;4;3;3;4;4;4;3;3;3;4;3;4;4;2;4;3;5;Yes;Stable, in some cases I've had issues;3;3;3;3;145
survey1;91;Yes;4;4;3;5;4;4;4;3;3;5;3;4;5;3;4;4;5;4;4;4;4;5;5;4;3;5;5;4;4;5;4;5;Yes;Stable, in some cases I've had issues;3;4;4;3;254
survey1;92;Yes;4;5;4;5;3;4;3;2;4;5;3;5;3;4;4;5;4;4;5;4;4;4;5;3;4;5;5;4;4;4;3;4;Yes;Stable, in some cases I've had issues;3;5;5;3;598
survey1;93;Yes;4;4;2;3;3;4;4;2;2;5;4;4;4;3;4;4;4;2;5;4;4;5;5;3;3;5;5;1;5;4;4;3;Yes;Stable, in some cases I've had issues;4;5;5;1;570
survey1;94;Yes;4;4;5;4;1;2;4;4;3;4;2;4;3;3;2;4;5;4;3;2;3;5;5;4;2;5;4;4;3;1;3;3;Yes;Stable, in some cases I've had issues;4;5;5;3;invalid id
survey1;95;Yes;2;2;5;4;1;2;3;5;5;4;3;1;4;5;4;3;3;4;5;1;4;4;5;4;3;3;4;2;4;1;3;2;Yes;Very stable;3;4;4;1;26
survey1;96;Yes;3;4;4;4;3;3;3;4;3;4;3;4;3;1;3;3;4;4;4;4;4;4;4;3;3;4;4;4;3;3;3;3;Yes;Stable, in some cases I've had issues;3;3;4;2;164
survey1;97;Yes;2;3;4;5;3;2;3;4;4;5;2;4;4;4;3;4;4;4;4;3;4;5;5;3;3;3;4;4;3;4;4;3;Yes;Stable, in some cases I've had issues;3;4;5;1;765
survey1;98;Yes;3;4;2;4;4;4;4;2;3;4;3;5;3;4;4;3;5;3;4;4;5;5;5;3;2;5;5;4;4;4;4;2;Yes;Very stable;5;5;5;1;789
survey1;99;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;100;Yes;4;5;1;5;4;4;4;3;5;5;5;4;5;5;3;4;4;3;5;4;4;4;5;4;4;5;5;3;4;4;4;1;Yes;Unstable, sometimes I've got problems;1;5;5;2;161
survey1;101;Yes;3;5;2;4;4;4;5;4;4;4;4;5;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;Yes;Very stable;4;5;5;2;836
survey1;102;Yes;3;4;3;4;3;3;5;5;3;5;5;5;5;5;4;4;4;4;4;4;4;3;4;1;3;3;3;4;3;4;4;5;No;Unstable, sometimes I've got problems;5;5;5;4;86
survey1;103;Yes;4;3;4;4;3;3;4;3;4;5;3;4;4;4;5;3;4;4;4;4;5;3;4;3;2;4;4;4;4;4;4;4;Yes;Stable, in some cases I've had issues;2;4;4;1;729
survey1;104;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;105;Yes;4;4;4;4;3;3;2;4;4;4;3;4;4;4;3;4;2;3;4;3;5;4;1;3;4;4;4;4;4;3;3;4;Yes;Unstable, sometimes I've got problems;1;4;4;1;605
survey1;106;Yes;5;5;3;5;2;3;3;2;4;5;4;4;4;4;3;5;5;4;5;4;5;5;5;3;4;5;4;3;4;2;4;5;Yes;Unstable, sometimes I've got problems;5;5;5;3;359
survey1;107;Yes;4;4;1;4;4;4;3;3;4;3;3;5;4;3;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;1;Yes;Very stable;4;4;4;1;201
survey1;108;Yes;3;4;1;3;2;1;3;4;3;4;4;4;3;4;2;3;4;5;3;2;5;4;4;3;2;4;4;4;3;2;2;3;Yes;Stable, in some cases I've had issues;2;4;5;1;155
survey1;109;Yes;4;5;4;4;3;4;3;3;3;5;4;4;5;3;4;4;4;3;4;4;5;5;5;4;4;5;5;3;4;2;4;3;Yes;Stable, in some cases I've had issues;3;4;4;2;249
survey1;110;Yes;3;5;2;3;4;4;3;2;4;4;4;5;4;3;4;3;4;2;5;4;4;4;4;3;3;4;4;1;4;2;4;3;Yes;Unstable, sometimes I've got problems;3;4;4;2;363
survey1;111;Yes;3;5;2;5;4;4;5;3;4;5;4;5;3;2;4;4;5;1;5;5;5;5;5;4;5;5;5;2;5;2;5;3;Yes;Very stable;4;4;3;1;686
survey1;112;Yes;5;5;1;5;5;5;2;1;5;5;4;5;5;2;5;5;4;1;5;5;5;5;5;5;5;5;5;1;5;4;5;3;Yes;Stable, in some cases I've had issues;2;2;4;1;369
survey1;113;Yes;4;5;2;5;4;3;4;4;4;4;5;4;3;3;4;4;4;4;4;4;5;4;5;4;4;4;4;5;4;5;4;3;Yes;Stable, in some cases I've had issues;4;5;5;2;404
survey1;114;Yes;4;5;1;3;4;4;4;2;5;5;3;4;4;2;4;3;4;2;5;4;5;3;5;2;5;4;4;2;4;3;5;3;Yes;Stable, in some cases I've had issues;3;4;4;1;875
survey1;115;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;116;Yes;2;4;3;3;4;2;4;4;3;4;5;5;4;4;2;3;3;3;4;3;4;3;3;2;4;3;3;3;3;2;3;3;Yes;Unstable, sometimes I've got problems;3;4;4;1;638
survey1;117;Yes;3;3;3;4;3;4;4;4;5;5;4;4;5;4;4;5;5;5;3;4;4;4;5;3;3;5;4;5;4;1;3;3;Yes;Stable, in some cases I've had issues;5;5;5;3;271
survey1;118;Yes;4;5;2;4;4;4;3;4;3;4;4;5;4;4;4;5;5;3;4;5;5;5;5;4;4;5;4;4;5;5;5;4;Yes;Stable, in some cases I've had issues;5;5;5;3;852
survey1;119;Yes;4;5;1;5;5;5;5;3;3;5;5;5;4;5;5;5;5;3;4;5;5;5;5;3;3;5;5;3;5;5;5;3;Yes;Very stable;4;5;4;1;158
survey1;120;Yes;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;No;Unstable, sometimes I've got problems;3;5;5;2;invalid id
survey1;121;Yes;2;5;4;3;3;4;3;2;4;5;4;5;5;2;4;3;4;4;5;4;5;5;4;2;5;4;5;5;3;4;3;1;Yes;Stable, in some cases I've had issues;4;4;2;2;12
survey1;122;Yes;5;5;2;5;4;5;3;3;4;5;2;5;4;4;5;5;5;4;4;4;5;5;5;4;4;5;5;3;5;3;4;2;Yes;Stable, in some cases I've had issues;4;4;3;1;920
survey1;123;Yes;3;5;4;4;3;2;4;4;3;5;3;4;3;5;3;3;4;5;4;3;5;4;4;4;4;4;4;5;4;2;3;5;Yes;Unstable, sometimes I've got problems;4;4;5;2;78
survey1;124;Yes;4;5;1;5;5;5;4;3;3;5;3;5;5;4;5;4;5;4;5;5;5;5;5;4;4;5;5;4;5;5;5;4;Yes;Stable, in some cases I've had issues;5;5;5;1;851
survey1;125;Yes;4;4;4;2;3;3;4;3;2;4;4;3;4;3;3;2;3;3;4;3;5;2;2;4;3;3;2;3;3;2;3;1;Yes;Stable, in some cases I've had issues;4;4;4;1;642
survey1;126;Yes;1;4;2;4;3;3;3;5;3;5;3;5;3;5;3;4;5;5;4;4;5;5;4;3;3;4;4;4;4;1;4;3;Yes;Stable, in some cases I've had issues;4;5;5;1;630
survey1;127;Yes;4;3;1;4;5;5;5;3;4;5;5;5;5;3;5;5;5;1;5;5;5;4;5;2;3;5;4;1;5;3;5;4;Yes;Stable, in some cases I've had issues;1;1;3;1;735
survey1;128;Yes;5;5;2;4;4;4;4;3;2;5;4;5;5;2;4;4;5;3;4;4;4;5;5;3;3;4;4;3;4;4;5;4;Yes;Very stable;4;5;5;1;590
survey1;129;Yes;3;5;2;4;4;3;5;4;3;4;4;5;3;4;3;3;5;4;4;4;5;4;4;3;4;5;4;3;4;2;4;5;Yes;Unstable, sometimes I've got problems;4;4;3;2;246
survey1;130;Yes;3;4;4;4;3;3;4;4;3;5;5;5;3;4;4;3;4;4;5;3;4;4;5;4;4;4;5;4;4;3;3;4;Yes;Very stable;1;4;4;1;72
survey1;131;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;132;Yes;5;5;4;5;4;4;3;2;5;5;3;5;3;3;4;4;5;4;5;5;5;5;5;5;5;5;5;4;4;4;5;1;Yes;Stable, in some cases I've had issues;4;4;4;1;500
survey1;133;Yes;3;2;4;4;2;2;2;3;3;5;2;4;5;4;3;4;5;3;4;3;5;5;5;3;4;3;5;3;4;4;3;2;Yes;Very stable;4;4;3;1;178
survey1;134;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
survey1;135;Yes;4;4;3;3;3;3;4;4;4;3;3;4;3;2;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;Yes;Unstable, sometimes I've got problems;4;4;4;1;577
survey1;136;Yes;3;5;5;4;3;2;4;5;3;4;5;4;5;5;3;3;4;5;4;3;5;4;5;3;4;4;3;5;4;5;4;5;Yes;Stable, in some cases I've had issues;2;3;3;1;263
survey1;137;Yes;5;5;2;4;4;5;3;4;4;5;4;5;3;4;4;5;5;3;5;5;5;4;5;4;4;5;5;4;5;3;5;4;Yes;Very stable;4;4;4;3;559
survey1;138;Yes;1;4;4;2;3;3;5;2;3;4;3;5;4;4;2;2;4;5;4;3;5;4;3;3;4;5;3;5;3;5;3;5;Yes;Stable, in some cases I've had issues;5;5;5;2;3
survey1;139;Yes;4;4;3;4;4;4;2;4;4;4;3;4;3;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;3;4;4;Yes;Stable, in some cases I've had issues;2;5;5;2;655
survey1;140;Yes;3;5;3;5;3;3;2;5;4;4;2;4;2;5;3;3;3;3;5;4;4;4;4;3;4;3;3;3;4;3;4;4;Yes;Unstable, sometimes I've got problems;1;2;2;1;797
survey1;141;Yes;4;4;3;3;3;2;3;4;4;3;3;4;4;4;3;3;3;4;5;3;4;3;3;3;5;3;3;4;3;3;3;5;Yes;Stable, in some cases I've had issues;4;4;4;2;313
survey1;142;Yes;4;5;3;4;4;3;4;3;4;4;4;4;3;4;3;4;4;4;5;4;4;4;4;4;4;4;4;4;4;3;3;2;Yes;Very stable;3;4;4;2;677
survey1;143;Yes;3;5;3;2;3;3;2;5;5;4;3;5;3;4;3;3;4;5;5;4;3;2;3;3;5;4;3;4;4;3;3;4;Yes;Stable, in some cases I've had issues;4;5;4;1;919
survey1;144;Yes;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;4;5;5;5;3;Yes;Unstable, sometimes I've got problems;5;5;5;4;132
survey1;145;Yes;4;5;3;4;3;3;4;3;5;4;4;5;4;5;4;4;4;4;5;4;4;4;4;3;5;4;4;5;4;2;4;4;Yes;Stable, in some cases I've had issues;2;2;2;1;146
survey1;146;Yes;4;4;3;4;3;3;4;4;3;4;4;4;4;5;3;4;4;4;4;4;4;4;4;5;4;5;4;4;5;2;4;5;Yes;Unstable, sometimes I've got problems;4;4;4;3;301
